Artist and Title,Streams,Daily
Alex Warren - Ordinary,1757840373,2965227.0
Bad Bunny - DtMF,1702630102,3444422.0
HUNTR/X - Golden,1584833078,3057068.0
Bad Bunny - BAILE INoLVIDABLE,1385786338,2658598.0
Taylor Swift - The Fate of Ophelia,1215515144,3608570.0
Bad Bunny - NUEVAYoL,1147848692,2570488.0
W Sound - La Plena,1030057117,1271061.0
Bad Bunny - EoO,1008323465,2086241.0
Olivia Dean - Man I Need,936063466,3563517.0
Jin - Don’t Say You Love Me,900002408,1168371.0
Bad Bunny - VOY A LLeVARTE PA PR,899386447,1467704.0
sombr - undressed,849250979,1502321.0
Sabrina Carpenter - Manchild,825982427,2351244.0
Bad Bunny - VeLDÁ,822708712,1169260.0
JENNIE - like JENNIE,794354180,1308632.0
Tate McRae - Sports car,789404061,1061537.0
Lady Gaga - Abracadabra,756450709,709272.0
Dream Supplier - Clean Baby Sleep White Noise (Loopable no fade),751826605,3543215.0
KATSEYE - Gabriela,732628420,1797202.0
Saja Boys - Soda Pop,707264090,925528.0
Saja Boys - Your Idol,693521129,758566.0
RAYE - WHERE IS MY HUSBAND!,647338366,3150435.0
Disco Lines - No Broke Boys,647226505,1556471.0
Taylor Swift - Opalite,645289039,1874627.0
Olivia Dean - So Easy (To Fall In Love),641716916,3491867.0
Justin Bieber - DAISIES,634409962,1215521.0
Alemán - Te Quería Ver,631101825,537646.0
Bad Bunny - KLOuFRENS,597262728,933243.0
HUNTR/X - How It’s Done,597033448,751528.0
Tate McRae - Just Keep Watching (From F1® The Movie),587209650,1171605.0
WizTheMc - Show Me Love,583938766,711709.0
Fuerza Regida - Marlboro Rojo,583844607,1231028.0
Drake - NOKIA,582964413,595717.0
Carly Rae Jepsen - I Really Like You,581049780,154510.0
Fuerza Regida - TU SANCHO,569110689,1001666.0
The Smashing Pumpkins - Bullet With Butterfly Wings,564545391,269308.0
BLACKPINK - JUMP,562812622,958702.0
Neton Vega - Morena,558670697,593784.0
Beéle - no tiene sentido,557523531,1157344.0
HUNTR/X - What It Sounds Like,556638406,808065.0
sombr - 12 to 12,551132432,1930034.0
Doechii - Anxiety,536766642,436174.0
Bad Bunny - WELTiTA,512437471,616920.0
Benson Boone - Mystical Magical,499460711,845651.0
Tate McRae - Revolving door,485054909,638028.0
KATSEYE - Gnarly,481890628,904674.0
HUNTR/X - Takedown,477940838,647207.0
Fuerza Regida - Por Esos Ojos,461997575,514157.0
Rels B - TU VAS SIN (fav),440760168,975906.0
MOLIY - Shake It To The Max (FLY),426228454,447777.0
Xavi - En Privado,420729265,699091.0
Kehlani - Folded,420561302,1160193.0
Ed Sheeran - Azizam,416309570,449869.0
Ovy On The Drums - YO y TÚ,411954479,656306.0
Olivia Dean - Nice To Each Other,409643021,1227515.0
Sabrina Carpenter - Tears,408615564,855166.0
Young Cister - QLOO*,408282167,896729.0
Grupo Menos É Mais - P do Pecado,404635558,792196.0
Sabrina Carpenter - Busy Woman,401254919,570946.0
Jombriel - VITAMINA,400938298,433216.0
Tanishk Bagchi - Saiyaara,393246329,631472.0
Kushagra - Finding Her,389168717,774016.0
Dave - Raindance,387951953,3666527.0
Tito Double P - TATTOO,386485769,465550.0
Benson Boone - Sorry I'm Here For Someone Else,384435055,481796.0
Nadhif Basalamah - bergema sampai selamanya,384226458,1075888.0
Bad Bunny - PERFuMITO NUEVO,381843390,435380.0
Lil Tecca - Dark Thoughts,380344509,462175.0
Gabito Ballesteros - 7 DÍAS,379171556,252362.0
Diego & Victor Hugo - Tubarões,378889249,680793.0
Morgan Wallen - I'm The Problem,376717441,623795.0
Fuerza Regida - ANSIEDAD,371566505,841054.0
The Weeknd - Cry For Me,370442793,402487.0
Morgan Wallen - What I Want,369506771,533574.0
Omar Camacho - 2+2,361024154,1144084.0
SIENNA SPIRO - Die On This Hill,349799221,2380398.0
Alex Warren - Eternity,348583567,776010.0
"Tyler, The Creator - Sugar On My Tongue",348445718,567013.0
LISA - Born Again,347939325,301041.0
Clave Especial - COMO CAPO,345265564,511203.0
Sabrina Carpenter - When Did You Get Hot?,344661542,744846.0
DJ Japa NK - Posso Até Não Te Dar Flores,343054376,1028717.0
Neton Vega - M&M,340942206,250666.0
Ed Sheeran - Sapphire,340151812,424817.0
Tito Double P - POR SUS BESOS,333832980,978926.0
PinkPantheress - Stateside + Zara Larsson,331161529,4135032.0
Bad Bunny - CAFé CON RON,330536653,695875.0
Addison Rae - Fame is a Gun,329165447,1305754.0
PARTYNEXTDOOR - DIE TRYING,328484889,531679.0
Los Dareyes De La Sierra - Frecuencia,326290346,589280.0
Taylor Swift - Elizabeth Taylor,319647170,494748.0
Oscar Maydon - Amigos? No.,319136294,347380.0
Los Dareyes De La Sierra - Vita Fer,317650143,303680.0
GIMS - SPIDER,315420271,192195.0
Natanael Cano - Perlas Negras,314397847,557815.0
Beéle - si te pillara,312676244,391909.0
Justin Bieber - YUKON,311410032,824749.0
JENNIE - ExtraL,309639821,300532.0
Tyla - CHANEL,306016016,1032822.0
Morgan Wallen - Just In Case,305290687,320543.0
Calvin Harris - Blessings,304766300,671102.0
j-hope - Killin' It Girl,304471346,459458.0
"TWICE - TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",302139977,353805.0
Bad Bunny - TURiSTA,301319370,380229.0
Dj Caio Vieira - FAMOSINHA,300108397,428667.0
Morgan Wallen - I Got Better,300067857,911716.0
Soolking - Casanova,298703617,93645.0
Clave Especial - TU TU TU,295845821,245649.0
Chappell Roan - The Subway,294064285,400562.0
Taylor Swift - Father Figure,290810701,420850.0
Tame Impala - Dracula,290079212,1886159.0
Neton Vega - Chiquita,289817784,206727.0
Bad Bunny - KETU TeCRÉ,289292883,334375.0
Bad Bunny - BOKeTE,287819750,357373.0
"The Smashing Pumpkins - Tonight, Tonight",284760527,156728.0
Alex Warren - Bloodline,284001158,654161.0
KAROL G - Verano Rosa,283781594,520694.0
Playboi Carti - RATHER LIE,283010477,297729.0
The Revivalists - Wish I Knew You,282129566,145788.0
Tenxi - Garam & Madu (Sakit Dadaku),277405289,228624.0
EsDeeKid - Phantom,276294437,1010790.0
Nakama - DIA DELÍCIA,275384053,495666.0
Bad Bunny - LA MuDANZA,274198254,456307.0
Tate McRae - TIT FOR TAT,273836387,594422.0
Silet Open Up - TABOLA BALE,273729118,363832.0
ROSALÍA - La Perla,271234435,861351.0
Ariana Grande - twilight zone,270980365,316378.0
Matheus Fernandes - Balanço da Rede,270290293,34502.0
Beéle - top diesel,269095652,347195.0
Ferrugem - Apaguei pra todos,268870009,414145.0
Don Toliver - Lose My Mind,266164851,546336.0
WizTheMc - Show Me Love,265202598,466857.0
